actionability_score,activity_tags,address,aggregator_child_links_count,aggregator_domain,candidate_id,candidate_status,capacity_text,category,city,confidence_score,constraints_tags,contact,dedupe_key,department,description,duplicate_of,email_questions,evidence_text,fit_beyond_score,formal_address_source,formal_capacity_source,formal_completeness_score,formal_contact_source,formal_evidence_text,formal_extraction_status,formal_page_title,formal_price_source,formal_scrape_checked_at,formal_scrape_content_type,formal_scrape_http_status,is_aggregator,last_seen_at,lat,lon,match_reasons,match_score,matches_json,missing_formal_fields,name,normalized_name,parent_aggregator_name,parent_aggregator_url,price_text,score_reasons,source_confidence,source_record_id,source_type,source_url,space_tags,target_run,website
10,['dance'],,,m.yelp.com,cand_best-dance-studios-near-montreuil-se_71195bb3ed,new,,studio_danse,Seine-Saint-Denis,35,[],,m.yelp.com/search,93,"Virtual Classes. What are some highly rated dance schools near Montreuil, 93? These are some highly rated dance schools near Montreuil, 93: Caribailes (3/5). Best Dance Studios near Montreuil, Seine-Saint-Denis, France - Yelp. Virtual Classes. What are some highly rated dance schools near Montreuil, 93? These are some highly rated dance schools near Montreuil, 93: Caribailes (3/5). studio_danse  Best Dance Studios near Montreuil, Seine-Saint-Denis, France - Yelp",,Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,"Best Dance Studios near Montreuil, Seine-Saint-Denis, France - Yelp. Virtual Classes. What are some highly rated dance schools near Montreuil, 93? These are some highly rated dance schools near Montreuil, 93: Caribailes (3/5).",74,,,0,,,fetch_failed,,,2026-06-20T06:58:31+00:00,HTTPError,,yes,2026-06-20,,,,,[],"adresse précise, contact, prix, capacité","Best Dance Studios near Montreuil, Seine-Saint-Denis, France - Yelp",best dance studios near montreuil seine saint denis france yelp,,,,"['activité dance +18', 'catégorie studio_danse +22', 'preuve + danse', 'site web']",low,src_https-m-yelp-com-search-find-desc-da_8368dd10cb,web_search,https://m.yelp.com/search?find_desc=Dance+Studios&find_loc=Montreuil%2C+Seine-Saint-Denis,[],,https://m.yelp.com/search?find_desc=Dance+Studios&find_loc=Montreuil%2C+Seine-Saint-Denis
10,"['dance', 'theatre']",,,spectable.com,cand_local-de-repetition-location-recherc_762dd22dea,new,,studio_danse,Hauts-de-Seine,35,[],,spectable.com/hauts-de-seine/petites-annonces/local-de-repetition/n_2648-l_134.php,92,"Ḡ BASE est un studio de création artistique et de pratique des arts du mouvement et de la danse Hip Hop. Situé à Ḡennevilliers, à 300m du Métro Ḡabriel Peri. Local de répétition / Location, recherche dans les Hauts de Seine. Ḡ BASE est un studio de création artistique et de pratique des arts du mouvement et de la danse Hip Hop. Situé à Ḡennevilliers, à 300m du Métro Ḡabriel Peri. studio_danse  Local de répétition / Location, recherche dans les Hauts de Seine",,Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,"Local de répétition / Location, recherche dans les Hauts de Seine. Ḡ BASE est un studio de création artistique et de pratique des arts du mouvement et de la danse Hip Hop. Situé à Ḡennevilliers, à 300m du Métro Ḡabriel Peri.",100,,,0,,,fetch_failed,,,2026-06-20T06:58:31+00:00,HTTPError,,yes,2026-06-20,,,,,[],"adresse précise, contact, prix, capacité","Local de répétition / Location, recherche dans les Hauts de Seine",local de repetition location recherche dans les hauts de seine,,,,"['activité dance +18', 'activité theatre +14', 'catégorie studio_danse +22', 'preuve + danse', 'preuve + mouvement', 'preuve + répétition', 'preuve + repetition', 'site web']",low,src_https-www-spectable-com-hauts-de-sei_45d4ff8a88,web_search,https://www.spectable.com/hauts-de-seine/petites-annonces/local-de-repetition/n_2648-l_134.php,[],,https://www.spectable.com/hauts-de-seine/petites-annonces/local-de-repetition/n_2648-l_134.php
10,"['dance', 'theatre']",,,spectable.com,cand_local-de-repetition-location-recherc_59a7b1c8d5,new,,studio_danse,Seine-Saint-Denis,35,[],,spectable.com/seine-saint-denis/petites-annonces/local-de-repetition/n_2648-l_40876.php,93,"Découvrez le studio de 150 m² de La Fabrique de la Danse à Pantin, un espace lumineux bénéficiant de la lumière naturelle, avec plancher de danse et équipé Local de répétition / Location, recherche en Seine Saint Denis. Découvrez le studio de 150 m² de La Fabrique de la Danse à Pantin, un espace lumineux bénéficiant de la lumière naturelle, avec plancher de danse et équipé studio_danse  Local de répétition / Location, recherche en Seine Saint Denis",,Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,"Local de répétition / Location, recherche en Seine Saint Denis. Découvrez le studio de 150 m² de La Fabrique de la Danse à Pantin, un espace lumineux bénéficiant de la lumière naturelle, avec plancher de danse et équipé",96,,,0,,,fetch_failed,,,2026-06-20T06:58:31+00:00,HTTPError,,yes,2026-06-20,,,,,[],"adresse précise, contact, prix, capacité","Local de répétition / Location, recherche en Seine Saint Denis",local de repetition location recherche en seine saint denis,,,,"['activité dance +18', 'activité theatre +14', 'catégorie studio_danse +22', 'preuve + danse', 'preuve + répétition', 'preuve + repetition', 'site web']",low,src_https-www-spectable-com-seine-saint-_cc202bbb37,web_search,https://www.spectable.com/seine-saint-denis/petites-annonces/local-de-repetition/n_2648-l_40876.php,[],,https://www.spectable.com/seine-saint-denis/petites-annonces/local-de-repetition/n_2648-l_40876.php
10,['dance'],,,pagesjaunes.fr,cand_danse-salles-et-lecons-en-seine-sain_2e87e59c62,new,,studio_danse,Seine-Saint-Denis,60,[],,pagesjaunes.fr/annuaire/departement/seine-saint-denis-93/danse-salles-et-lecons,93,"Le Feeling Dance est un centre de danse pour les amateurs et professionnels. Il propose des cours collectif, de danse et stages, locations de studios, Danse salles et leçons en Seine-saint-denis - Pages Jaunes. Le Feeling Dance est un centre de danse pour les amateurs et professionnels. Il propose des cours collectif, de danse et stages, locations de studios, studio_danse  Danse salles et leçons en Seine-saint-denis - Pages Jaunes",,Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,"Danse salles et leçons en Seine-saint-denis - Pages Jaunes. Le Feeling Dance est un centre de danse pour les amateurs et professionnels. Il propose des cours collectif, de danse et stages, locations de studios,",74,,,0,,,fetch_failed,,,2026-06-20T06:58:31+00:00,HTTPError,,yes,2026-06-20,,,,,[],"adresse précise, contact, prix, capacité",Danse salles et leçons en Seine-saint-denis - Pages Jaunes,danse salles et lecons en seine saint denis pages jaunes,,,,"['activité dance +18', 'catégorie studio_danse +22', 'preuve + danse', 'site web']",medium,src_https-www-pagesjaunes-fr-annuaire-de_ebb4941a57,web_search,https://www.pagesjaunes.fr/annuaire/departement/seine-saint-denis-93/danse-salles-et-lecons,[],,https://www.pagesjaunes.fr/annuaire/departement/seine-saint-denis-93/danse-salles-et-lecons
70,['dance'],26 boulevard de Sébastopol 75004 Paris,0,paris-marais-dance-school.org,cand_location-de-studio-paris-marais-danc_fc5c35a1ea,new,,studio_danse,Paris,35,[],06 51 21 37 30,paris-marais-dance-school.org/location-studio,75,"BILLETTERIE spectacles 28 juin -** **Réservations** **AUDITIONS, en présentiel les 11 et 25 juillet 2026, ou en ligne -** **candidature** ***JE TROUVE MON COURS - whatsapp***. Les studios bénéficient d’une situation très exceptionnelle en plein centre de Paris, juste à côté du Forum des Halles (RER, métro) et du Centre Pompidou. Vous apprécierez des studios neufs et propres, avec planchers et tapis Harlequin, conçus pour la danse. Les réservations se font exclusivement en ligne. *Juillet et août : tarif unique à 50€/h pour les studios 1 et 2*. Nos studios sont disponibles à la location sur certains créneaux horaires, exclusivement pour les activités énumérées ci-dessous. Le module de réservation enligne est en bas de page. *Attention, chaussures, baskets et talons sont interdits dans les locaux, tant pour la circulation dans les locaux que pour les cours. * Accès à la cuisine et à la salle d'accueil et de réception. Les cours et la circulation dans les locaux se fait exclusivement en chaussons de danse, chaussettes ou pieds nus. Location de studio - Paris Marais Dance School. BILLETTERIE spectacles 28 juin -** **Réservations** **AUDITIONS, en présentiel les 11 et 25 juillet 2026, ou en ligne -** **candidature** ***JE TROUVE MON COURS - whatsapp***. Les studios bénéficient d’une situation très exceptionnelle en plein centre de Paris, juste à côté du Forum des Halles (RER, métro) et du Centre Pompidou. Vous apprécierez des studios neufs et propres, avec planchers et tapis Harlequin, conçus pour la danse. Les réservations se font exclusivement en ligne. *Juillet et août : tarif unique à 50€/h pour les studios 1 et 2*. Nos studios sont disponibles à la location sur certains créneaux horaires, exclusivement pour les activités énumérées ci-dessous. Le module de réservation enligne est en bas de page. *Attention, chaussures, baskets et talons sont interdits dans les locaux, tant pour la circulation dans les locaux que pour les cours. * Accès à la cuisine et à la salle d'accueil et de réception. Les cours et la circul studio_danse  Location de studio - Paris Marais Dance School",,Confirmer capacité,"Location de studio - Paris Marais Dance School. BILLETTERIE spectacles 28 juin -** **Réservations** **AUDITIONS, en présentiel les 11 et 25 juillet 2026, ou en ligne -** **candidature** ***JE TROUVE MON COURS - whatsapp***. Les studios bénéficient d’une situation très exceptionnelle en plein centre de Paris, juste à côté du Forum des Halles (RER, métro) et du Centre Pompidou. Vous apprécierez des studios neufs et propres, avec planchers et tapis Harlequin, conçus pour la danse. Les réservations se font exclusivement en ligne. *Juillet et août : tarif unique à 50€/h pour les studios 1 et 2*. Nos studios sont disponibles à la location sur certains créneaux horaires, exclusivement pour les activités énumérées ci-dessous. Le module de réservation enligne est en bas de page. *Attention, chaussures, baskets et talons sont interdits dans les locaux, tant pour la circulation dans les locaux que pour les cours. * Accès à la cuisine et à la salle d'accueil et de réception. Les cours et la circul",66,scraped_page,,3,scraped_page,"Location de studio - Paris Marais Dance School WebFont.load({ google: { families: [""Playfair Display:300,400,500,600,700"",""Work Sans:300,400,500,600,700""] }}); !function(o,c){var n=c.documentElement,t="" w-mod-"";n.className+=t+""js"",(""ontouchstart""in o||o.DocumentTouch&&c instanceof DocumentTouch)&&(n.className+=t+""touch"")}(window,document); Weglot.initialize({ api_key: 'wg_478dd68ebc3b3434dfb97c9fd861ecd54' }); // Bandeau cookies : https://webflow.com/made-in-webflow/website/google-consent-mode // Define dataLayer and the gtag function window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} // Set default consent to 'denied' as a placeholder if(localStorage.getItem('consentMode') === null){ gtag('consent', 'default', { 'ad_storage': 'denied', 'ad_user_data': 'denied', 'ad_personalization': 'denied', 'analytics_storage': 'denied', 'personalization_storage': '",scraped,Location de studio - Paris Marais Dance School,scraped_page,2026-06-20T06:58:31+00:00,text/html; charset=utf-8,200,no,2026-06-20,48.860803,2.349725,,,[],capacité,Location de studio - Paris Marais Dance School,location de studio paris marais dance school,,,50€/h; 50€,"['activité dance +18', 'catégorie studio_danse +22', 'preuve + danse', 'preuve - réception', 'contact direct', 'prix connu', 'adresse', 'site web']",low,src_https-www-paris-marais-dance-school-_eb54f8be69,web_search,https://www.paris-marais-dance-school.org/location-studio,[],,https://www.paris-marais-dance-school.org/location-studio
10,"['dance', 'theatre']",,,spectable.com,cand_local-de-repetition-location-recherc_65eecc98ef,new,,studio_danse,Val-de-Marne,35,[],,spectable.com/val-de-marne/petites-annonces/local-de-repetition/n_2648-l_136.php,94,"5 studios / 1500 m2, pour Danse, Tournage, Events, Stages... Factory ClubThiais (94320). Idéalement situé, ce club de 1500 m² se compose de 5 salles Local de répétition / Location, recherche dans le Val de Marne. 5 studios / 1500 m2, pour Danse, Tournage, Events, Stages... Factory ClubThiais (94320). Idéalement situé, ce club de 1500 m² se compose de 5 salles studio_danse  Local de répétition / Location, recherche dans le Val de Marne",,Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,"Local de répétition / Location, recherche dans le Val de Marne. 5 studios / 1500 m2, pour Danse, Tournage, Events, Stages... Factory ClubThiais (94320). Idéalement situé, ce club de 1500 m² se compose de 5 salles",96,,,0,,,fetch_failed,,,2026-06-20T06:58:31+00:00,HTTPError,,yes,2026-06-20,,,,,[],"adresse précise, contact, prix, capacité","Local de répétition / Location, recherche dans le Val de Marne",local de repetition location recherche dans le val de marne,,,,"['activité dance +18', 'activité theatre +14', 'catégorie studio_danse +22', 'preuve + danse', 'preuve + répétition', 'preuve + repetition', 'site web']",low,src_https-www-spectable-com-val-de-marne_4aec6a238f,web_search,https://www.spectable.com/val-de-marne/petites-annonces/local-de-repetition/n_2648-l_136.php,[],,https://www.spectable.com/val-de-marne/petites-annonces/local-de-repetition/n_2648-l_136.php
10,['dance'],,,pagesjaunes.fr,cand_danse-salles-et-lecons-en-val-de-mar_d1c7bfb49d,new,,studio_danse,Val-de-Marne,60,[],,pagesjaunes.fr/annuaire/departement/val-de-marne-94/danse-salles-et-lecons,94,Liste des professionnels ; Goudal Anne/Studio Cadence · 2 rue Paul Doumer 94130 Nogent sur Marne · Photo de Goudal Anne/Studio Cadence ; All Fit Alfortville · 52 rue Danse salles et leçons en Val-de-marne. Liste des professionnels ; Goudal Anne/Studio Cadence · 2 rue Paul Doumer 94130 Nogent sur Marne · Photo de Goudal Anne/Studio Cadence ; All Fit Alfortville · 52 rue studio_danse  Danse salles et leçons en Val-de-marne,,Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,Danse salles et leçons en Val-de-marne. Liste des professionnels ; Goudal Anne/Studio Cadence · 2 rue Paul Doumer 94130 Nogent sur Marne · Photo de Goudal Anne/Studio Cadence ; All Fit Alfortville · 52 rue,74,,,0,,,fetch_failed,,,2026-06-20T06:58:31+00:00,HTTPError,,yes,2026-06-20,,,,,[],"adresse précise, contact, prix, capacité",Danse salles et leçons en Val-de-marne,danse salles et lecons en val de marne,,,,"['activité dance +18', 'catégorie studio_danse +22', 'preuve + danse', 'site web']",medium,src_https-www-pagesjaunes-fr-annuaire-de_6e2662acec,web_search,https://www.pagesjaunes.fr/annuaire/departement/val-de-marne-94/danse-salles-et-lecons,[],,https://www.pagesjaunes.fr/annuaire/departement/val-de-marne-94/danse-salles-et-lecons
10,['dance'],,,yelp.com,cand_the-best-10-dance-studios-in-saint-m_b54f230dbe,new,,studio_danse,Val-de-Marne,35,[],,yelp.com/search,94,"Complexe sportif, art du déplacement, tricking, école de danse, stages internationaux, locations de salles, etc. See all reviews. Salsa Caraibes - Dance Studios THE BEST 10 Dance Studios in SAINT-MAUR-DES-FOSSÉS, VAL .... Complexe sportif, art du déplacement, tricking, école de danse, stages internationaux, locations de salles, etc. See all reviews. Salsa Caraibes - Dance Studios studio_danse  THE BEST 10 Dance Studios in SAINT-MAUR-DES-FOSSÉS, VAL ...",,Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,"THE BEST 10 Dance Studios in SAINT-MAUR-DES-FOSSÉS, VAL .... Complexe sportif, art du déplacement, tricking, école de danse, stages internationaux, locations de salles, etc. See all reviews. Salsa Caraibes - Dance Studios",74,,,0,,,fetch_failed,,,2026-06-20T06:58:31+00:00,HTTPError,,yes,2026-06-20,,,,,[],"adresse précise, contact, prix, capacité","THE BEST 10 Dance Studios in SAINT-MAUR-DES-FOSSÉS, VAL ...",the best 10 dance studios in saint maur des fosses val,,,,"['activité dance +18', 'catégorie studio_danse +22', 'preuve + danse', 'site web']",low,src_https-www-yelp-com-search-cflt-dance_2e095d21a2,web_search,https://www.yelp.com/search?cflt=dancestudio&find_loc=Saint-Maur-des-Foss%C3%A9s%2C+Val-de-Marne,[],,https://www.yelp.com/search?cflt=dancestudio&find_loc=Saint-Maur-des-Foss%C3%A9s%2C+Val-de-Marne
10,"['dance', 'theatre', 'yoga']",,,spectable.com,cand_local-de-repetition-location-recherc_0dee187249,new,,studio_danse,Seine-et-Marne,35,[],,spectable.com/seine-et-marne/petites-annonces/local-de-repetition/n_2648-l_119.php,77,"Salle de danse à louer pour intervenants souhaitant développer des activités artistiques et culturelles. Aujourd'hui, des cours de danse, yoga, bachata, salsa, Local de répétition / Location, recherche en Seine et Marne. Salle de danse à louer pour intervenants souhaitant développer des activités artistiques et culturelles. Aujourd'hui, des cours de danse, yoga, bachata, salsa, studio_danse  Local de répétition / Location, recherche en Seine et Marne",,Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,"Local de répétition / Location, recherche en Seine et Marne. Salle de danse à louer pour intervenants souhaitant développer des activités artistiques et culturelles. Aujourd'hui, des cours de danse, yoga, bachata, salsa,",100,,,0,,,fetch_failed,,,2026-06-20T06:58:31+00:00,HTTPError,,yes,2026-06-20,,,,,[],"adresse précise, contact, prix, capacité","Local de répétition / Location, recherche en Seine et Marne",local de repetition location recherche en seine et marne,,,,"['activité dance +18', 'activité theatre +14', 'activité yoga +18', 'catégorie studio_danse +22', 'preuve + danse', 'preuve + yoga', 'preuve + répétition', 'preuve + repetition', 'site web']",low,src_https-www-spectable-com-seine-et-mar_715c14f84f,web_search,https://www.spectable.com/seine-et-marne/petites-annonces/local-de-repetition/n_2648-l_119.php,[],,https://www.spectable.com/seine-et-marne/petites-annonces/local-de-repetition/n_2648-l_119.php
10,"['dance', 'theatre']",,,pagesjaunes.fr,cand_location-de-studios-de-repetition-en_b28a85f2a4,new,,studio_danse,Yvelines,60,[],,pagesjaunes.fr/annuaire/departement/yvelines-78/location-de-studios-de-repetition,78,Gam Studio Productions · 21 route Houdan 78113 Bourdonné ; Le Barde Atomique · 61 rue Fontenelles 78920 Ecquevilly ; BEHAY PRODMUZIK · bât 1 26 avenue Frères Lumière Location de studios de répétition en Yvelines - Pages Jaunes. Gam Studio Productions · 21 route Houdan 78113 Bourdonné ; Le Barde Atomique · 61 rue Fontenelles 78920 Ecquevilly ; BEHAY PRODMUZIK · bât 1 26 avenue Frères Lumière studio_danse  Location de studios de répétition en Yvelines - Pages Jaunes,,Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,Location de studios de répétition en Yvelines - Pages Jaunes. Gam Studio Productions · 21 route Houdan 78113 Bourdonné ; Le Barde Atomique · 61 rue Fontenelles 78920 Ecquevilly ; BEHAY PRODMUZIK · bât 1 26 avenue Frères Lumière,96,,,0,,,fetch_failed,,,2026-06-20T06:58:31+00:00,HTTPError,,yes,2026-06-20,,,,,[],"adresse précise, contact, prix, capacité",Location de studios de répétition en Yvelines - Pages Jaunes,location de studios de repetition en yvelines pages jaunes,,,,"['activité dance +18', 'activité theatre +14', 'catégorie studio_danse +22', 'preuve + danse', 'preuve + répétition', 'preuve + repetition', 'site web']",medium,src_https-www-pagesjaunes-fr-annuaire-de_c6ce7d6c54,web_search,https://www.pagesjaunes.fr/annuaire/departement/yvelines-78/location-de-studios-de-repetition,[],,https://www.pagesjaunes.fr/annuaire/departement/yvelines-78/location-de-studios-de-repetition
