actionability_score,activity_tags,address,aggregator_child_links_count,aggregator_domain,candidate_id,candidate_status,capacity_text,category,city,confidence_score,constraints_tags,contact,dedupe_key,department,description,duplicate_of,email_questions,evidence_text,fit_beyond_score,formal_address_source,formal_capacity_source,formal_completeness_score,formal_contact_source,formal_evidence_text,formal_extraction_status,formal_page_title,formal_price_source,formal_scrape_checked_at,formal_scrape_content_type,formal_scrape_http_status,geocode_candidate_label,geocode_candidate_score,geocode_status,is_aggregator,last_seen_at,lat,lon,match_reasons,match_score,matches_json,missing_formal_fields,name,normalized_name,parent_aggregator_name,parent_aggregator_url,price_text,rental_decision_needed,rental_email_question,rental_negative_signals,rental_positive_signals,rental_possible_confidence,rental_possible_status,score_reasons,source_confidence,source_record_id,source_type,source_url,space_tags,target_run,website
10,['dance'],,,yelp.com,cand_the-best-10-dance-studios-in-saint-m_b54f230dbe,new,,studio_danse,Val-de-Marne,35,[],,yelp.com/search,94,"Complexe sportif, art du déplacement, tricking, école de danse, stages internationaux, locations de salles, etc. See all reviews. Salsa Caraibes - Dance Studios THE BEST 10 Dance Studios in SAINT-MAUR-DES-FOSSÉS, VAL .... Complexe sportif, art du déplacement, tricking, école de danse, stages internationaux, locations de salles, etc. See all reviews. Salsa Caraibes - Dance Studios studio_danse  THE BEST 10 Dance Studios in SAINT-MAUR-DES-FOSSÉS, VAL ...",,Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,"THE BEST 10 Dance Studios in SAINT-MAUR-DES-FOSSÉS, VAL .... Complexe sportif, art du déplacement, tricking, école de danse, stages internationaux, locations de salles, etc. See all reviews. Salsa Caraibes - Dance Studios",74,,,0,,,fetch_failed,,,2026-06-20T06:59:58+00:00,HTTPError,,,,missing_address,yes,2026-06-20,,,,,[],"adresse précise, contact, prix, capacité","THE BEST 10 Dance Studios in SAINT-MAUR-DES-FOSSÉS, VAL ...",the best 10 dance studios in saint maur des fosses val,,,,yes,Demander explicitement si une location/privatisation de salle est possible.,,,low,unclear,"['activité dance +18', 'catégorie studio_danse +22', 'preuve + danse', 'site web']",low,src_https-www-yelp-com-search-cflt-dance_2e095d21a2,web_search,https://www.yelp.com/search?cflt=dancestudio&find_loc=Saint-Maur-des-Foss%C3%A9s%2C+Val-de-Marne,[],,https://www.yelp.com/search?cflt=dancestudio&find_loc=Saint-Maur-des-Foss%C3%A9s%2C+Val-de-Marne
10,['dance'],,,m.yelp.com,cand_best-dance-studios-near-boulogne-bil_8b96441f16,new,,studio_danse,Hauts-de-Seine,35,[],,m.yelp.com/search,92,"1. De Neuville Catherine · 2. BBDC - Boulogne Billancourt Danse Club · 3. Cirque Nomade - Cours Cirque Enfants · 4. Centre Exelmans · 5. Paris Capoeira avec Bamba. Best Dance Studios near Boulogne-Billancourt, Hauts-de-Seine .... 1. De Neuville Catherine · 2. BBDC - Boulogne Billancourt Danse Club · 3. Cirque Nomade - Cours Cirque Enfants · 4. Centre Exelmans · 5. Paris Capoeira avec Bamba. studio_danse  Best Dance Studios near Boulogne-Billancourt, Hauts-de-Seine ...",,Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,"Best Dance Studios near Boulogne-Billancourt, Hauts-de-Seine .... 1. De Neuville Catherine · 2. BBDC - Boulogne Billancourt Danse Club · 3. Cirque Nomade - Cours Cirque Enfants · 4. Centre Exelmans · 5. Paris Capoeira avec Bamba.",74,,,0,,,fetch_failed,,,2026-06-20T06:59:58+00:00,HTTPError,,,,missing_address,yes,2026-06-20,,,,,[],"adresse précise, contact, prix, capacité","Best Dance Studios near Boulogne-Billancourt, Hauts-de-Seine ...",best dance studios near boulogne billancourt hauts de seine,,,,yes,Demander explicitement si une location/privatisation de salle est possible.,,,low,unclear,"['activité dance +18', 'catégorie studio_danse +22', 'preuve + danse', 'site web']",low,src_https-m-yelp-com-search-find-desc-da_3ff02142e9,web_search,https://m.yelp.com/search?find_desc=Dance+Studios&find_loc=Boulogne-Billancourt,[],,https://m.yelp.com/search?find_desc=Dance+Studios&find_loc=Boulogne-Billancourt
10,['dance'],,,pagesjaunes.fr,cand_danse-salles-et-lecons-en-val-de-mar_d1c7bfb49d,new,,studio_danse,Val-de-Marne,60,[],,pagesjaunes.fr/annuaire/departement/val-de-marne-94/danse-salles-et-lecons,94,Liste des professionnels ; Goudal Anne/Studio Cadence · 2 rue Paul Doumer 94130 Nogent sur Marne · Photo de Goudal Anne/Studio Cadence ; All Fit Alfortville · 52 rue Danse salles et leçons en Val-de-marne. Liste des professionnels ; Goudal Anne/Studio Cadence · 2 rue Paul Doumer 94130 Nogent sur Marne · Photo de Goudal Anne/Studio Cadence ; All Fit Alfortville · 52 rue studio_danse  Danse salles et leçons en Val-de-marne,,Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,Danse salles et leçons en Val-de-marne. Liste des professionnels ; Goudal Anne/Studio Cadence · 2 rue Paul Doumer 94130 Nogent sur Marne · Photo de Goudal Anne/Studio Cadence ; All Fit Alfortville · 52 rue,74,,,0,,,fetch_failed,,,2026-06-20T06:59:58+00:00,HTTPError,,,,missing_address,yes,2026-06-20,,,,,[],"adresse précise, contact, prix, capacité",Danse salles et leçons en Val-de-marne,danse salles et lecons en val de marne,,,,yes,Demander explicitement si une location/privatisation de salle est possible.,,,low,unclear,"['activité dance +18', 'catégorie studio_danse +22', 'preuve + danse', 'site web']",medium,src_https-www-pagesjaunes-fr-annuaire-de_6e2662acec,web_search,https://www.pagesjaunes.fr/annuaire/departement/val-de-marne-94/danse-salles-et-lecons,[],,https://www.pagesjaunes.fr/annuaire/departement/val-de-marne-94/danse-salles-et-lecons
10,"['dance', 'theatre', 'yoga']",,,spectable.com,cand_local-de-repetition-location-recherc_0dee187249,new,,studio_danse,Seine-et-Marne,35,[],,spectable.com/seine-et-marne/petites-annonces/local-de-repetition/n_2648-l_119.php,77,"Salle de danse à louer pour intervenants souhaitant développer des activités artistiques et culturelles. Aujourd'hui, des cours de danse, yoga, bachata, salsa, Local de répétition / Location, recherche en Seine et Marne. Salle de danse à louer pour intervenants souhaitant développer des activités artistiques et culturelles. Aujourd'hui, des cours de danse, yoga, bachata, salsa, studio_danse  Local de répétition / Location, recherche en Seine et Marne",,Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Vérifier s’ils louent réellement une salle à des tiers ; le site ressemble à des cours/abonnements plutôt qu’à une location.,"Local de répétition / Location, recherche en Seine et Marne. Salle de danse à louer pour intervenants souhaitant développer des activités artistiques et culturelles. Aujourd'hui, des cours de danse, yoga, bachata, salsa,",100,,,0,,,fetch_failed,,,2026-06-20T06:59:58+00:00,HTTPError,,,,missing_address,yes,2026-06-20,,,,,[],"adresse précise, contact, prix, capacité","Local de répétition / Location, recherche en Seine et Marne",local de repetition location recherche en seine et marne,,,,yes,Vérifier s’ils louent réellement une salle à des tiers ; le site ressemble à des cours/abonnements plutôt qu’à une location.,cours de danse,,medium,unlikely,"['activité dance +18', 'activité theatre +14', 'activité yoga +18', 'catégorie studio_danse +22', 'preuve + danse', 'preuve + yoga', 'preuve + répétition', 'preuve + repetition', 'site web']",low,src_https-www-spectable-com-seine-et-mar_715c14f84f,web_search,https://www.spectable.com/seine-et-marne/petites-annonces/local-de-repetition/n_2648-l_119.php,[],,https://www.spectable.com/seine-et-marne/petites-annonces/local-de-repetition/n_2648-l_119.php
10,"['dance', 'theatre']",,,spectable.com,cand_local-de-repetition-location-recherc_65eecc98ef,new,,studio_danse,Val-de-Marne,35,[],,spectable.com/val-de-marne/petites-annonces/local-de-repetition/n_2648-l_136.php,94,"5 studios / 1500 m2, pour Danse, Tournage, Events, Stages... Factory ClubThiais (94320). Idéalement situé, ce club de 1500 m² se compose de 5 salles Local de répétition / Location, recherche dans le Val de Marne. 5 studios / 1500 m2, pour Danse, Tournage, Events, Stages... Factory ClubThiais (94320). Idéalement situé, ce club de 1500 m² se compose de 5 salles studio_danse  Local de répétition / Location, recherche dans le Val de Marne",,Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,"Local de répétition / Location, recherche dans le Val de Marne. 5 studios / 1500 m2, pour Danse, Tournage, Events, Stages... Factory ClubThiais (94320). Idéalement situé, ce club de 1500 m² se compose de 5 salles",96,,,0,,,fetch_failed,,,2026-06-20T06:59:58+00:00,HTTPError,,,,missing_address,yes,2026-06-20,,,,,[],"adresse précise, contact, prix, capacité","Local de répétition / Location, recherche dans le Val de Marne",local de repetition location recherche dans le val de marne,,,,yes,Demander explicitement si une location/privatisation de salle est possible.,,,low,unclear,"['activité dance +18', 'activité theatre +14', 'catégorie studio_danse +22', 'preuve + danse', 'preuve + répétition', 'preuve + repetition', 'site web']",low,src_https-www-spectable-com-val-de-marne_4aec6a238f,web_search,https://www.spectable.com/val-de-marne/petites-annonces/local-de-repetition/n_2648-l_136.php,[],,https://www.spectable.com/val-de-marne/petites-annonces/local-de-repetition/n_2648-l_136.php
10,"['dance', 'theatre']",,,spectable.com,cand_local-de-repetition-location-recherc_762dd22dea,new,,studio_danse,Hauts-de-Seine,35,[],,spectable.com/hauts-de-seine/petites-annonces/local-de-repetition/n_2648-l_134.php,92,"Ḡ BASE est un studio de création artistique et de pratique des arts du mouvement et de la danse Hip Hop. Situé à Ḡennevilliers, à 300m du Métro Ḡabriel Peri. Local de répétition / Location, recherche dans les Hauts de Seine. Ḡ BASE est un studio de création artistique et de pratique des arts du mouvement et de la danse Hip Hop. Situé à Ḡennevilliers, à 300m du Métro Ḡabriel Peri. studio_danse  Local de répétition / Location, recherche dans les Hauts de Seine",,Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,"Local de répétition / Location, recherche dans les Hauts de Seine. Ḡ BASE est un studio de création artistique et de pratique des arts du mouvement et de la danse Hip Hop. Situé à Ḡennevilliers, à 300m du Métro Ḡabriel Peri.",100,,,0,,,fetch_failed,,,2026-06-20T06:59:58+00:00,HTTPError,,,,missing_address,yes,2026-06-20,,,,,[],"adresse précise, contact, prix, capacité","Local de répétition / Location, recherche dans les Hauts de Seine",local de repetition location recherche dans les hauts de seine,,,,yes,Demander explicitement si une location/privatisation de salle est possible.,,,low,unclear,"['activité dance +18', 'activité theatre +14', 'catégorie studio_danse +22', 'preuve + danse', 'preuve + mouvement', 'preuve + répétition', 'preuve + repetition', 'site web']",low,src_https-www-spectable-com-hauts-de-sei_45d4ff8a88,web_search,https://www.spectable.com/hauts-de-seine/petites-annonces/local-de-repetition/n_2648-l_134.php,[],,https://www.spectable.com/hauts-de-seine/petites-annonces/local-de-repetition/n_2648-l_134.php
10,['dance'],,,pagesjaunes.fr,cand_danse-salles-et-lecons-en-seine-sain_2e87e59c62,new,,studio_danse,Seine-Saint-Denis,60,[],,pagesjaunes.fr/annuaire/departement/seine-saint-denis-93/danse-salles-et-lecons,93,"Le Feeling Dance est un centre de danse pour les amateurs et professionnels. Il propose des cours collectif, de danse et stages, locations de studios, Danse salles et leçons en Seine-saint-denis - Pages Jaunes. Le Feeling Dance est un centre de danse pour les amateurs et professionnels. Il propose des cours collectif, de danse et stages, locations de studios, studio_danse  Danse salles et leçons en Seine-saint-denis - Pages Jaunes",,Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Vérifier s’ils louent réellement une salle à des tiers ; le site ressemble à des cours/abonnements plutôt qu’à une location.,"Danse salles et leçons en Seine-saint-denis - Pages Jaunes. Le Feeling Dance est un centre de danse pour les amateurs et professionnels. Il propose des cours collectif, de danse et stages, locations de studios,",74,,,0,,,fetch_failed,,,2026-06-20T06:59:58+00:00,HTTPError,,,,missing_address,yes,2026-06-20,,,,,[],"adresse précise, contact, prix, capacité",Danse salles et leçons en Seine-saint-denis - Pages Jaunes,danse salles et lecons en seine saint denis pages jaunes,,,,yes,Vérifier s’ils louent réellement une salle à des tiers ; le site ressemble à des cours/abonnements plutôt qu’à une location.,cours collectifs,,medium,unlikely,"['activité dance +18', 'catégorie studio_danse +22', 'preuve + danse', 'site web']",medium,src_https-www-pagesjaunes-fr-annuaire-de_ebb4941a57,web_search,https://www.pagesjaunes.fr/annuaire/departement/seine-saint-denis-93/danse-salles-et-lecons,[],,https://www.pagesjaunes.fr/annuaire/departement/seine-saint-denis-93/danse-salles-et-lecons
10,"['dance', 'theatre']",,,spectable.com,cand_local-de-repetition-location-recherc_59a7b1c8d5,new,,studio_danse,Seine-Saint-Denis,35,[],,spectable.com/seine-saint-denis/petites-annonces/local-de-repetition/n_2648-l_40876.php,93,"Découvrez le studio de 150 m² de La Fabrique de la Danse à Pantin, un espace lumineux bénéficiant de la lumière naturelle, avec plancher de danse et équipé Local de répétition / Location, recherche en Seine Saint Denis. Découvrez le studio de 150 m² de La Fabrique de la Danse à Pantin, un espace lumineux bénéficiant de la lumière naturelle, avec plancher de danse et équipé studio_danse  Local de répétition / Location, recherche en Seine Saint Denis",,Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,"Local de répétition / Location, recherche en Seine Saint Denis. Découvrez le studio de 150 m² de La Fabrique de la Danse à Pantin, un espace lumineux bénéficiant de la lumière naturelle, avec plancher de danse et équipé",96,,,0,,,fetch_failed,,,2026-06-20T06:59:58+00:00,HTTPError,,,,missing_address,yes,2026-06-20,,,,,[],"adresse précise, contact, prix, capacité","Local de répétition / Location, recherche en Seine Saint Denis",local de repetition location recherche en seine saint denis,,,,yes,Demander explicitement si une location/privatisation de salle est possible.,,,low,unclear,"['activité dance +18', 'activité theatre +14', 'catégorie studio_danse +22', 'preuve + danse', 'preuve + répétition', 'preuve + repetition', 'site web']",low,src_https-www-spectable-com-seine-saint-_cc202bbb37,web_search,https://www.spectable.com/seine-saint-denis/petites-annonces/local-de-repetition/n_2648-l_40876.php,[],,https://www.spectable.com/seine-saint-denis/petites-annonces/local-de-repetition/n_2648-l_40876.php
10,"['dance', 'theatre']",,,pagesjaunes.fr,cand_location-de-studios-de-repetition-en_b28a85f2a4,new,,studio_danse,Yvelines,60,[],,pagesjaunes.fr/annuaire/departement/yvelines-78/location-de-studios-de-repetition,78,Gam Studio Productions · 21 route Houdan 78113 Bourdonné ; Le Barde Atomique · 61 rue Fontenelles 78920 Ecquevilly ; BEHAY PRODMUZIK · bât 1 26 avenue Frères Lumière Location de studios de répétition en Yvelines - Pages Jaunes. Gam Studio Productions · 21 route Houdan 78113 Bourdonné ; Le Barde Atomique · 61 rue Fontenelles 78920 Ecquevilly ; BEHAY PRODMUZIK · bât 1 26 avenue Frères Lumière studio_danse  Location de studios de répétition en Yvelines - Pages Jaunes,,Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,Location de studios de répétition en Yvelines - Pages Jaunes. Gam Studio Productions · 21 route Houdan 78113 Bourdonné ; Le Barde Atomique · 61 rue Fontenelles 78920 Ecquevilly ; BEHAY PRODMUZIK · bât 1 26 avenue Frères Lumière,96,,,0,,,fetch_failed,,,2026-06-20T06:59:58+00:00,HTTPError,,,,missing_address,yes,2026-06-20,,,,,[],"adresse précise, contact, prix, capacité",Location de studios de répétition en Yvelines - Pages Jaunes,location de studios de repetition en yvelines pages jaunes,,,,yes,Demander explicitement si une location/privatisation de salle est possible.,,,low,unclear,"['activité dance +18', 'activité theatre +14', 'catégorie studio_danse +22', 'preuve + danse', 'preuve + répétition', 'preuve + repetition', 'site web']",medium,src_https-www-pagesjaunes-fr-annuaire-de_c6ce7d6c54,web_search,https://www.pagesjaunes.fr/annuaire/departement/yvelines-78/location-de-studios-de-repetition,[],,https://www.pagesjaunes.fr/annuaire/departement/yvelines-78/location-de-studios-de-repetition
10,"['dance', 'theatre']",,,spectable.com,cand_local-de-repetition-location-recherc_520ba603f9,new,,studio_danse,Essonne,35,[],,spectable.com/corbeil-essonnes-91100/petites-annonces/local-de-repetition/n_2648-l_17548.php,91,"Studio musique équipé + espace lounge — 690€/mois Studio de musique privatif, situé au RDC d'une maison, idéal pour producteur, beatmaker, compositeur ou Local de répétition / Location, recherche à Corbeil Essonnes (91100). Studio musique équipé + espace lounge — 690€/mois Studio de musique privatif, situé au RDC d'une maison, idéal pour producteur, beatmaker, compositeur ou studio_danse  Local de répétition / Location, recherche à Corbeil Essonnes (91100)",,Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,"Local de répétition / Location, recherche à Corbeil Essonnes (91100). Studio musique équipé + espace lounge — 690€/mois Studio de musique privatif, situé au RDC d'une maison, idéal pour producteur, beatmaker, compositeur ou",96,,,0,,,fetch_failed,,,2026-06-20T06:59:58+00:00,HTTPError,,,,missing_address,yes,2026-06-20,,,,,[],"adresse précise, contact, prix, capacité","Local de répétition / Location, recherche à Corbeil Essonnes (91100)",local de repetition location recherche a corbeil essonnes 91100,,,,yes,Demander explicitement si une location/privatisation de salle est possible.,,,low,unclear,"['activité dance +18', 'activité theatre +14', 'catégorie studio_danse +22', 'preuve + danse', 'preuve + répétition', 'preuve + repetition', 'site web']",low,src_https-www-spectable-com-corbeil-esso_ef0dd74090,web_search,https://www.spectable.com/corbeil-essonnes-91100/petites-annonces/local-de-repetition/n_2648-l_17548.php,[],,https://www.spectable.com/corbeil-essonnes-91100/petites-annonces/local-de-repetition/n_2648-l_17548.php
