_dataset,actionability_score,activity_tags,address,aggregator_domain,candidate_id,candidate_status,capacity_max_detected,capacity_text,category,city,confidence_score,constraints_tags,contact,dedupe_key,department,description,email_questions,evidence_text,fit_beyond_score,formal_completeness_score,formal_extraction_status,formal_scrape_checked_at,formal_scrape_content_type,geo_status,is_aggregator,last_seen_at,lat,lon,missing_formal_fields,name,observation_count,page_type,price_score,price_text,rental_decision_needed,rental_email_question,rental_negative_signals,rental_positive_signals,rental_possible_confidence,rental_possible_status,source_confidence,source_domain,source_reliability,source_url,space_tags,specific_rental_page_url,website
candidate,55,"reunion, atelier, danse",,,venue_venue_betulalenta.fr_agenda cie betula lenta maxence rey_,new,0,,centre,Paris,0.3,,,agenda_|_cie_betula_lenta_-_maxence_rey_paris,,,,,55,0/5,ai_extracted,2026-06-20,official_venue_page,in_scope,no,2026-06-20,None,None,"address, postal_code, phone, email, price, capacity, rental_restrictions",Agenda | Cie Betula Lenta - Maxence Rey,1,official_venue_page,0,,yes,,,,0.3,unclear,0.3,betulalenta.fr,S3,https://betulalenta.fr/agenda,,,https://betulalenta.fr/agenda
candidate,100,"yoga, evenementiel, reunion, sport, reception",,,venue_venue_chatillon-sur-chalaronne.fr_locations des salles mairie de chatillonsurchalaronne_,to_contact,48,"48 assis, 1150m²","salle_de_reunion, centre, studio_yoga",Chatillon-Sur-Chalaronne,0.81,,06 70 88 55 83 — rabouyaala@chatillon-sur-chalaronne.org,locations_des_salles_chatillon-sur-chalaronne,,,,rental_possible: location de | capacity: 15 personnes,100,3/5,ai_extracted,2026-06-20,official_rental_page,in_scope,no,2026-06-20,None,None,"address, postal_code, price, rental_restrictions",Locations des salles,2,official_rental_page,0,,no,,,,0.85,possible,0.81,chatillon-sur-chalaronne.fr,S4,https://www.chatillon-sur-chalaronne.fr/ma-commune/ma-ville/location-de-salles,,https://www.chatillon-sur-chalaronne.fr/wp-content/uploads/2025/05/Tarifs-Municipaux-2025.pdf),https://www.chatillon-sur-chalaronne.fr/ma-commune/ma-ville/location-de-salles
candidate,80,"atelier, theatre","12, place Claude-Debussy 92220 Bagneux",,venue_venue_bagneux92.fr_csc jacquesprevert ville de bagneux_,to_contact,0,,theatre,Bagneux,0.83,,01 46 56 12 12,csc_jacques-prévert_bagneux,,,,"rental_possible: booking | address: 12, place Claude-Debussy 92220 Bagneux",80,2/5,ai_extracted,2026-06-20,municipal_facility_page,in_scope,no,2026-06-20,None,None,"email, price, capacity, rental_restrictions",CSC Jacques-Prévert,1,municipal_facility_page,0,,no,,,,0.85,possible,0.83,bagneux92.fr,S3,https://www.bagneux92.fr/151/que-faire-a-bagneux/les-csc/csc-jacques-prevert.htm,,,https://www.bagneux92.fr/151/que-faire-a-bagneux/les-csc/csc-jacques-prevert.htm
candidate,55,,,,venue_venue_viry-chatillon.fr_etre une association ville de virychatillon_,new,0,,maison_des_associations,,0.3,,,être_une_association_–_ville_de_viry-chatillon_,,,,,55,0/5,ai_extracted,2026-06-20,official_venue_page,in_scope,no,2026-06-20,None,None,"address, city, postal_code, phone, email, price, capacity, rental_restrictions",Être une association – Ville de Viry-Chatillon,1,official_venue_page,0,,yes,,,,0.3,unclear,0.3,viry-chatillon.fr,S3,https://viry-chatillon.fr/temps-libre/vie-associative/etre-une-association,,,https://viry-chatillon.fr/temps-libre/vie-associative/etre-une-association
candidate,95,"cirque, danse",26 boulevard de Sébastopol 75004 Paris,,venue_venue_paris-marais-dance-school.org_location de studio paris marais dance school_paris,to_contact,0,,salle_louable,Paris,0.82,"['Chaussures interdites', 'Talons interdits']",,location_de_studio_-_paris_marais_dance_school_paris,75,,,rental_possible: Location de | price: 50€,95,1/5,ai_extracted,2026-06-20,official_rental_page,in_scope,no,2026-06-20,48.860803,2.349725,"address, postal_code, phone, email, capacity",Location de studio - Paris Marais Dance School,1,official_rental_page,0,50€/h,no,,,,0.85,possible,0.82,paris-marais-dance-school.org,S4,https://www.paris-marais-dance-school.org/location-studio,,,https://www.paris-marais-dance-school.org/location-studio
candidate,25,danse,Seine-et-Marne,,venue_venue_capdanse.fr_location capdanse_seine-et-marne,rejected,0,,studio_de_danse,Seine-et-Marne,0.7,,,location_-_capdanse_seine-et-marne,77,,,rental_possible: Cours de ,25,0/5,ai_extracted,2026-06-20,official_venue_page,in_scope,no,2026-06-20,None,None,"address, postal_code, phone, email, price, capacity, rental_restrictions",Location - Capdanse,1,official_venue_page,0,,no,,,,0.7,unlikely,0.7,capdanse.fr,S3,http://www.capdanse.fr/location.html,,,http://www.capdanse.fr/location.html
candidate,30,"pole_dance, danse",Val-d'Oise,,venue_venue_lestudioprive.com_ecole de pole dance a domont chaumontel et chambly_val-d'oise,rejected,0,145m²,ecole,Val-d'Oise,0.7,,,"école_de_pole_dance_à_domont,_chaumontel_et_chambly_val-d'oise",95,,,rental_possible: ÉCOLE DE | capacity: 145m²,30,1/5,ai_extracted,2026-06-20,official_venue_page,in_scope,no,2026-06-20,None,None,"address, postal_code, phone, email, price, rental_restrictions","ÉCOLE DE POLE DANCE À DOMONT, CHAUMONTEL ET CHAMBLY",1,official_venue_page,0,,no,,,,0.7,unlikely,0.7,lestudioprive.com,S3,https://lestudioprive.com,,,https://lestudioprive.com
candidate,90,"yoga, meditation",Val-de-Marne,,venue_venue_yogasearcher.com_location salle de yoga espace bienetre cours prives_val-de-marne,to_contact,0,,studio_yoga,Val-de-Marne,0.85,,,location_salle_de_yoga_–_espace_bien-être_&_cours_privés_val-de-marne,94,,,rental_possible: Location de,90,0/5,ai_extracted,2026-06-20,official_rental_page,in_scope,no,2026-06-20,None,None,"address, postal_code, phone, email, price, capacity, rental_restrictions",Location salle de yoga – Espace bien-être & cours privés,1,official_rental_page,0,,no,,,,0.85,possible,0.85,yogasearcher.com,S4,https://yogasearcher.com/pages/location-salle-yoga,,,https://yogasearcher.com/pages/location-salle-yoga
candidate,90,"yoga, meditation",24 rue des Marguettes,,venue_venue_namasteom.com_location salle yoga paris 12 namasteom_paris,to_contact,0,,studio_yoga,Paris,0.82,,,location_salle_yoga_paris_12_-_namasteom_paris,75,,,rental_possible: location de | address: 24 rue des Marguettes,90,1/5,ai_extracted,2026-06-20,official_rental_page,in_scope,no,2026-06-20,48.843487,2.408235,"phone, email, price, capacity, rental_restrictions",location salle yoga paris 12 - Namasteom,1,official_rental_page,0,,no,,,,0.85,possible,0.82,namasteom.com,S4,https://www.namasteom.com/location-salle,,,https://www.namasteom.com/location-salle
candidate,85,"danse, repetition",place de la Nation Métro Nation ou Buzenval (ligne 9 ).,,venue_venue_parisdansestudio.fr_paris danse studio studio de danse a louer a paris_paris,to_contact,0,160m²,"studio_de_danse, studio",Paris,0.8,,07 44 86 74 66,paris_danse_studio_-_studio_de_danse_à_louer_à_paris_paris,75,,,rental_possible: à louer | capacity: 160 m² | address: place de la Nation Métro Nation ou Buzenval (ligne 9 ).,85,3/5,ai_extracted,2026-06-20,official_venue_page,in_scope,no,2026-06-20,None,None,"postal_code, email, price, rental_restrictions",PARIS DANSE STUDIO - Studio de danse à louer à Paris,1,official_venue_page,0,,no,,,,0.85,possible,0.8,parisdansestudio.fr,S3,https://parisdansestudio.fr,,,https://parisdansestudio.fr
candidate,80,"atelier, danse",84 rue de Paris 60200 Compiègne Sur le parking du magasin Auchan Accès bus : ligne 3 arrêt rue de,,venue_venue_centrededansem2l.com_studiolocation centre de danse m2l_val-d'oise,to_contact,0,245m²,"studio_de_danse, studio, centre",Val-d'Oise,0.77,['Sur devis'],,studio/location_|_centre_de_danse_m2l_val-d'oise,95,,,rental_possible: Tarif,80,1/5,ai_extracted,2026-06-20,municipal_facility_page,in_scope,no,2026-06-20,None,None,"address, postal_code, phone, email, price",Studio/Location | Centre de danse M2L,1,municipal_facility_page,0,,no,,,,0.85,possible,0.77,centrededansem2l.com,S3,https://www.centrededansem2l.com/projects-6,,,https://www.centrededansem2l.com/projects-6
candidate,25,danse,254 Boulevard du Havre - 95220 Pierrelaye & 200 Chaussée Jules César - 9250 Beauchamp NOUS CONTACTER Pré,,venue_venue_studio-influence.com_studio influence ecole de danse a pierrelaye_val-d'oise,rejected,0,,"ecole, studio_de_danse",Val-d'Oise,0.7,,,studio_influence_–_école_de_danse_à_pierrelaye_val-d'oise,95,,,rental_possible: École de,25,0/5,ai_extracted,2026-06-20,official_venue_page,in_scope,no,2026-06-20,None,None,"address, postal_code, phone, email, price, capacity, rental_restrictions",Studio Influence – École de danse à Pierrelaye,1,official_venue_page,0,,no,,,,0.7,unlikely,0.7,studio-influence.com,S3,https://studio-influence.com,,,https://studio-influence.com
candidate,55,,,,obs_legacy-source-records_67546c5401,new,0,,unknown,,0.3,,,lieux_,94,,,,55,0/5,ai_extracted,2026-06-20,official_venue_page,in_scope,no,2026-06-20,None,None,"address, city, postal_code, phone, email, price, capacity, rental_restrictions",Lieux,1,official_venue_page,0,,yes,,,,0.3,unclear,0.3,yogmee.fr,S3,https://www.yogmee.fr/salles,,https://www.yogmee.fr/salles,https://www.yogmee.fr/salles
candidate,60,"musique, theatre, danse, repetition",Yvelines,,venue_venue_studio-danse-l-aire-yvelines.fr_studio de danse laire studio de danse_yvelines,new,0,135m²,"studio_de_danse, studio, theatre",Yvelines,0.5,,,studio_de_danse_l'aire_-_studio_de_danse_yvelines,78,,,,60,1/5,ai_extracted,2026-06-20,official_venue_page,in_scope,no,2026-06-20,None,None,"address, postal_code, phone, email, price, rental_restrictions",Studio de danse l'Aire - STUDIO DE DANSE,1,official_venue_page,0,,yes,,,,0.3,unclear,0.5,studio-danse-l-aire-yvelines.fr,S3,https://studio-danse-l-aire-yvelines.fr/studio-de-danse,,,https://studio-danse-l-aire-yvelines.fr/studio-de-danse
candidate,90,atelier,Val-d'Oise,,venue_venue_yoga-nogent.fr_location du studio_val-d'oise,to_contact,0,,salle_louable,Val-d'Oise,0.68,,,location_du_studio_val-d'oise,95,,,rental_possible: TARIF | price: 25€,90,1/5,ai_extracted,2026-06-20,official_rental_page,in_scope,no,2026-06-20,None,None,"address, postal_code, phone, email, capacity, rental_restrictions",LOCATION DU STUDIO,1,official_rental_page,0,,no,,,,0.85,possible,0.68,yoga-nogent.fr,S4,https://yoga-nogent.fr/location.html?twtheme=no,,,https://yoga-nogent.fr/location.html?twtheme=no
candidate,75,"yoga, atelier",4 rue de la Procession 78100 ST Germain en Laye A deux pas de la place du marché Contact Cours d,,venue_venue_yoga78.fr_accueil yoga78 yoga78 saintgermainenlaye_yvelines,to_contact,0,,studio_yoga,Yvelines,0.85,,,accueil_|_yoga78_|_yoga78_saint-germain-en-laye_yvelines,78,,,rental_possible: Louer,75,0/5,ai_extracted,2026-06-20,official_venue_page,in_scope,no,2026-06-20,48.897711,2.090324,"address, postal_code, phone, email, price, capacity, rental_restrictions",Accueil | Yoga78 | Yoga78 Saint-Germain-en-Laye,1,official_venue_page,0,,no,,,,0.85,possible,0.85,yoga78.fr,S3,https://yoga78.fr,,,https://yoga78.fr
candidate,55,,25 Avenue de la Porte de Chtillon.,,venue_venue_maps.apple.com_dojo de paris in paris france apple maps_paris,new,0,,unknown,Paris,0.55,,,dojo_de_paris_in_paris_france_-_apple_maps_paris,75,,,address: 25 Avenue de la Porte de Chtillon.,55,1/5,ai_extracted,2026-06-20,official_venue_page,in_scope,no,2026-06-20,48.82305,2.316144,"postal_code, phone, email, price, capacity, rental_restrictions",Dojo de Paris in Paris France - Apple Maps,1,official_venue_page,0,,yes,,,,0.3,unclear,0.55,maps.apple.com,S3,https://maps.apple.com/place?place-id=IEF88A0A421A5B6DF,,,https://maps.apple.com/place?place-id=IEF88A0A421A5B6DF
candidate,55,,Avenue de la Porte de Châtillon. Dojo de Paris is situate,,venue_venue_mapcarta.com_dojo de paris map sports venue_hauts-de-seine,new,0,,unknown,Hauts-de-Seine,0.55,,,dojo_de_paris_map_-_sports_venue_hauts-de-seine,92,,,address: Avenue de la Porte de Châtillon. Dojo de Paris is situate,55,1/5,ai_extracted,2026-06-20,official_venue_page,in_scope,no,2026-06-20,None,None,"postal_code, phone, email, price, capacity, rental_restrictions",Dojo de Paris Map - Sports venue,1,official_venue_page,0,,yes,,,,0.3,unclear,0.55,mapcarta.com,S3,https://mapcarta.com/W171544175,,,https://mapcarta.com/W171544175
candidate,80,"danse, repetition",41 rue du Temple 75004 Paris Tel: +33 1 42 77 58 19 E-mail : accueil@centrededansedumarais.fr Le,,venue_venue_centrededansedumarais.fr_location de studios centre de danse du marais_paris,to_contact,0,135m²,"centre, studio_de_danse",Paris,0.77,,,location_de_studios_-_centre_de_danse_du_marais_paris,75,,,rental_possible: Location de | capacity: 135 m²,80,1/5,ai_extracted,2026-06-20,official_venue_page,in_scope,no,2026-06-20,48.857834,2.357738,"address, postal_code, phone, email, price, rental_restrictions",Location de studios - Centre de Danse du Marais,1,official_venue_page,0,,no,,,,0.85,possible,0.77,centrededansedumarais.fr,S3,https://www.centrededansedumarais.fr/location-de-studios,,,https://www.centrededansedumarais.fr/location-de-studios
candidate,25,"reunion, danse",80 rue du G\u00e9n\u00e9ral de Gaulle,,venue_venue_studiodanseencorps.re_studio danse en corps studio de danse a saintdenis de la reunion_seine-saint-denis,rejected,0,,"studio_de_danse, studio",Seine-Saint-Denis,0.7,,,studio_danse_en_corps:_studio_de_danse_à_saint-denis_de_la_réunion_seine-saint-d,93,,,rental_possible: cours de ,25,0/5,ai_extracted,2026-06-20,official_venue_page,in_scope,no,2026-06-20,None,None,"address, postal_code, phone, email, price, capacity, rental_restrictions",Studio Danse en Corps: Studio de danse à Saint-Denis de La Réunion,1,official_venue_page,0,,no,,,,0.7,unlikely,0.7,studiodanseencorps.re,S3,https://studiodanseencorps.re,,,https://studiodanseencorps.re
candidate,75,yoga,39 boulevard des Capucines 75002 PARIS. La capacité,,venue_venue_yogavillage.fr_location studio de yoga paris yoga village paris_paris,to_contact,0,,"studio, studio_yoga",Paris,0.82,,,location_studio_de_yoga_paris_-_yoga_village_paris_paris,75,,,rental_possible: à louer | address: 39 boulevard des Capucines 75002 PARIS. La capacité,75,1/5,ai_extracted,2026-06-20,official_venue_page,in_scope,no,2026-06-20,48.869935,2.329129,"phone, email, price, capacity, rental_restrictions",Location studio de yoga Paris - Yoga Village Paris,1,official_venue_page,0,,no,,,,0.85,possible,0.82,yogavillage.fr,S3,https://yogavillage.fr/location-studio-de-yoga-paris,,,https://yogavillage.fr/location-studio-de-yoga-paris
candidate,100,"danse, repetition",46 rue des rigoles. Le studio des Rigoles est situé au 46,,venue_venue_ecolededansekimkan.com_location de studio de danse ecolededansekimkan_paris,to_contact,0,150m²,"studio_de_danse, studio, ecole",Paris,0.8,['Conditions'],01 43 66 99 64,location_de_studio_de_danse_-_ecolededansekimkan_paris,75,,,rental_possible: Location de | capacity: 150 m² | address: 46 rue des rigoles. Le studio des Rigoles est situé au 46,100,3/5,ai_extracted,2026-06-20,official_rental_page,in_scope,no,2026-06-20,48.866887,2.397787,"postal_code, email, price",Location de studio de danse - ecolededansekimkan,1,official_rental_page,0,,no,,,,0.85,possible,0.8,ecolededansekimkan.com,S4,https://www.ecolededansekimkan.com/infos-pratiques/nos-studios,,,https://www.ecolededansekimkan.com/infos-pratiques/nos-studios
candidate,55,,Val-de-Marne,,venue_venue_sports.gouv.fr_dojo roger ginet sportsgouvfr_val-de-marne,new,0,,unknown,Val-de-Marne,0.3,,,dojo_roger_ginet_|_sports.gouv.fr_val-de-marne,94,,,,55,0/5,ai_extracted,2026-06-20,municipal_facility_page,in_scope,no,2026-06-20,None,None,"address, postal_code, phone, email, price, capacity, rental_restrictions",Dojo Roger Ginet | sports.gouv.fr,1,municipal_facility_page,0,,yes,,,,0.3,unclear,0.3,sports.gouv.fr,S3,https://www.sports.gouv.fr/en/dojo-roger-ginet,,,https://www.sports.gouv.fr/en/dojo-roger-ginet
candidate,55,arts_martiaux,Hauts-de-Seine,,venue_venue_psg.fr_paris saintgermain judo team_hauts-de-seine,new,0,,unknown,Hauts-de-Seine,0.3,,,paris_saint-germain_judo_team_hauts-de-seine,92,,,,55,0/5,ai_extracted,2026-06-20,official_venue_page,in_scope,no,2026-06-20,None,None,"address, postal_code, phone, email, price, capacity, rental_restrictions",Paris Saint-Germain Judo Team,1,official_venue_page,0,,yes,,,,0.3,unclear,0.3,psg.fr,S3,https://www.psg.fr/en/judo,,,https://www.psg.fr/en/judo
