_dataset,actionability_score,activity_tags,address,aggregator_domain,ai_source_file,ai_source_kind,ai_source_record_id,candidate_id,candidate_status,capacity_max_detected,capacity_text,category,city,confidence_score,constraints_tags,contact,dedupe_key,department,description,email_questions,evidence_text,fit_beyond_score,formal_completeness_score,formal_extraction_status,formal_scrape_checked_at,formal_scrape_content_type,geo_status,is_aggregator,last_seen_at,lat,lon,missing_formal_fields,name,observation_count,page_type,price_score,price_text,rental_decision_needed,rental_email_question,rental_negative_signals,rental_positive_signals,rental_possible_confidence,rental_possible_status,source_confidence,source_domain,source_reliability,source_url,space_tags,specific_rental_page_url,website
candidate,70,,,,ai_classify_batch_0.jsonl,extracted_from_listing,venue_venue_cnd.fr_pdf location de studios a paris et proche banlieue_,venue_venue_cnd.fr_pdf location de studios a paris et proche banlieue__x0_bac544360b,to_contact,0,,catalog pdf,,0.65,,,espace_culturel_bertin_poir_e_,75,"PDF catalog listing dozens of dance studios for rental in Paris and nearby banlieue. Contains individual studio names, addresses, capacities, and some pricing. Multiple venues with addresses identifiable. Marked as catalog_pdf with extracted_venues.","capacity, city, email, phone, price","PDF catalog listing dozens of dance studios for rental in Paris and nearby banlieue. Contains individual studio names, addresses, capacities, and some pricing. Multiple venues with addresses identifiable. Marked as catalog_pdf with extracted_venues.",70,3/8,ai_adaptive_extracted,2026-06-20,catalog_pdf,in_scope,no,2026-06-20,,,"capacity, city, email, phone, price",Espace Culturel Bertin Poirée,2,catalog_pdf,0,,no,,,"PDF catalog listing dozens of dance studios for rental in Paris and nearby banlieue. Contains individual studio names, addresses, capacities, and some pricing. Multiple venues with addresses identifiable. Marked as catalog_pdf with extracted_venues.",0.85,possible,0.65,cnd.fr,S4,https://www.cnd.fr/fr/file/file/96/inline/locstudiojuin2017.pdf,,https://www.cnd.fr/fr/file/file/96/inline/locstudiojuin2017.pdf,https://www.cnd.fr/fr/file/file/96/inline/locstudiojuin2017.pdf
candidate,70,,,,ai_classify_batch_0.jsonl,extracted_from_listing,venue_venue_cnd.fr_pdf location de studios a paris et proche banlieue_,venue_venue_cnd.fr_pdf location de studios a paris et proche banlieue__x1_a50de9c24c,to_contact,0,,catalog pdf,,0.65,,,studio_magenia_,75,"PDF catalog listing dozens of dance studios for rental in Paris and nearby banlieue. Contains individual studio names, addresses, capacities, and some pricing. Multiple venues with addresses identifiable. Marked as catalog_pdf with extracted_venues.","capacity, city, email, phone, price","PDF catalog listing dozens of dance studios for rental in Paris and nearby banlieue. Contains individual studio names, addresses, capacities, and some pricing. Multiple venues with addresses identifiable. Marked as catalog_pdf with extracted_venues.",70,3/8,ai_adaptive_extracted,2026-06-20,catalog_pdf,in_scope,no,2026-06-20,,,"capacity, city, email, phone, price",Studio Magenia,2,catalog_pdf,0,,no,,,"PDF catalog listing dozens of dance studios for rental in Paris and nearby banlieue. Contains individual studio names, addresses, capacities, and some pricing. Multiple venues with addresses identifiable. Marked as catalog_pdf with extracted_venues.",0.85,possible,0.65,cnd.fr,S4,https://www.cnd.fr/fr/file/file/96/inline/locstudiojuin2017.pdf,,https://www.cnd.fr/fr/file/file/96/inline/locstudiojuin2017.pdf,https://www.cnd.fr/fr/file/file/96/inline/locstudiojuin2017.pdf
candidate,70,,,,ai_classify_batch_0.jsonl,extracted_from_listing,venue_venue_cnd.fr_pdf location de studios a paris et proche banlieue_,venue_venue_cnd.fr_pdf location de studios a paris et proche banlieue__x2_50bedd36f3,to_contact,0,,catalog pdf,,0.65,,,elephant_paname_,75,"PDF catalog listing dozens of dance studios for rental in Paris and nearby banlieue. Contains individual studio names, addresses, capacities, and some pricing. Multiple venues with addresses identifiable. Marked as catalog_pdf with extracted_venues.","capacity, city, email, phone, price","PDF catalog listing dozens of dance studios for rental in Paris and nearby banlieue. Contains individual studio names, addresses, capacities, and some pricing. Multiple venues with addresses identifiable. Marked as catalog_pdf with extracted_venues.",70,3/8,ai_adaptive_extracted,2026-06-20,catalog_pdf,in_scope,no,2026-06-20,,,"capacity, city, email, phone, price",Elephant Paname,2,catalog_pdf,0,,no,,,"PDF catalog listing dozens of dance studios for rental in Paris and nearby banlieue. Contains individual studio names, addresses, capacities, and some pricing. Multiple venues with addresses identifiable. Marked as catalog_pdf with extracted_venues.",0.85,possible,0.65,cnd.fr,S4,https://www.cnd.fr/fr/file/file/96/inline/locstudiojuin2017.pdf,,https://www.cnd.fr/fr/file/file/96/inline/locstudiojuin2017.pdf,https://www.cnd.fr/fr/file/file/96/inline/locstudiojuin2017.pdf
candidate,70,,,,ai_classify_batch_0.jsonl,extracted_from_listing,venue_venue_cnd.fr_pdf location de studios a paris et proche banlieue_,venue_venue_cnd.fr_pdf location de studios a paris et proche banlieue__x3_ee410ea61c,to_contact,0,,catalog pdf,,0.65,,,salsabor_studio_,75,"PDF catalog listing dozens of dance studios for rental in Paris and nearby banlieue. Contains individual studio names, addresses, capacities, and some pricing. Multiple venues with addresses identifiable. Marked as catalog_pdf with extracted_venues.","capacity, city, email, phone, price","PDF catalog listing dozens of dance studios for rental in Paris and nearby banlieue. Contains individual studio names, addresses, capacities, and some pricing. Multiple venues with addresses identifiable. Marked as catalog_pdf with extracted_venues.",70,3/8,ai_adaptive_extracted,2026-06-20,catalog_pdf,in_scope,no,2026-06-20,,,"capacity, city, email, phone, price",Salsabor Studio,2,catalog_pdf,0,,no,,,"PDF catalog listing dozens of dance studios for rental in Paris and nearby banlieue. Contains individual studio names, addresses, capacities, and some pricing. Multiple venues with addresses identifiable. Marked as catalog_pdf with extracted_venues.",0.85,possible,0.65,cnd.fr,S4,https://www.cnd.fr/fr/file/file/96/inline/locstudiojuin2017.pdf,,https://www.cnd.fr/fr/file/file/96/inline/locstudiojuin2017.pdf,https://www.cnd.fr/fr/file/file/96/inline/locstudiojuin2017.pdf
candidate,70,,,,ai_classify_batch_0.jsonl,extracted_from_listing,venue_venue_cnd.fr_pdf location de studios a paris et proche banlieue_,venue_venue_cnd.fr_pdf location de studios a paris et proche banlieue__x4_347c544da2,to_contact,0,,catalog pdf,,0.65,,,centre_de_danse_du_marais_,75,"PDF catalog listing dozens of dance studios for rental in Paris and nearby banlieue. Contains individual studio names, addresses, capacities, and some pricing. Multiple venues with addresses identifiable. Marked as catalog_pdf with extracted_venues.","capacity, city, email, phone, price","PDF catalog listing dozens of dance studios for rental in Paris and nearby banlieue. Contains individual studio names, addresses, capacities, and some pricing. Multiple venues with addresses identifiable. Marked as catalog_pdf with extracted_venues.",70,3/8,ai_adaptive_extracted,2026-06-20,catalog_pdf,in_scope,no,2026-06-20,,,"capacity, city, email, phone, price",Centre de Danse du Marais,2,catalog_pdf,0,,no,,,"PDF catalog listing dozens of dance studios for rental in Paris and nearby banlieue. Contains individual studio names, addresses, capacities, and some pricing. Multiple venues with addresses identifiable. Marked as catalog_pdf with extracted_venues.",0.85,possible,0.65,cnd.fr,S4,https://www.cnd.fr/fr/file/file/96/inline/locstudiojuin2017.pdf,,https://www.cnd.fr/fr/file/file/96/inline/locstudiojuin2017.pdf,https://www.cnd.fr/fr/file/file/96/inline/locstudiojuin2017.pdf
candidate,70,,,,ai_classify_batch_0.jsonl,extracted_from_listing,venue_venue_cnd.fr_pdf location de studios a paris et proche banlieue_,venue_venue_cnd.fr_pdf location de studios a paris et proche banlieue__x5_709cde5475,to_contact,0,,catalog pdf,,0.65,,,espace_sport_et_danse_,75,"PDF catalog listing dozens of dance studios for rental in Paris and nearby banlieue. Contains individual studio names, addresses, capacities, and some pricing. Multiple venues with addresses identifiable. Marked as catalog_pdf with extracted_venues.","capacity, city, email, phone, price","PDF catalog listing dozens of dance studios for rental in Paris and nearby banlieue. Contains individual studio names, addresses, capacities, and some pricing. Multiple venues with addresses identifiable. Marked as catalog_pdf with extracted_venues.",70,3/8,ai_adaptive_extracted,2026-06-20,catalog_pdf,in_scope,no,2026-06-20,,,"capacity, city, email, phone, price",Espace Sport et Danse,2,catalog_pdf,0,,no,,,"PDF catalog listing dozens of dance studios for rental in Paris and nearby banlieue. Contains individual studio names, addresses, capacities, and some pricing. Multiple venues with addresses identifiable. Marked as catalog_pdf with extracted_venues.",0.85,possible,0.65,cnd.fr,S4,https://www.cnd.fr/fr/file/file/96/inline/locstudiojuin2017.pdf,,https://www.cnd.fr/fr/file/file/96/inline/locstudiojuin2017.pdf,https://www.cnd.fr/fr/file/file/96/inline/locstudiojuin2017.pdf
candidate,70,,,,ai_classify_batch_0.jsonl,extracted_from_listing,venue_venue_cnd.fr_pdf location de studios a paris et proche banlieue_,venue_venue_cnd.fr_pdf location de studios a paris et proche banlieue__x6_c9d8d4bd28,to_contact,0,,catalog pdf,,0.65,,,micadanses_,75,"PDF catalog listing dozens of dance studios for rental in Paris and nearby banlieue. Contains individual studio names, addresses, capacities, and some pricing. Multiple venues with addresses identifiable. Marked as catalog_pdf with extracted_venues.","capacity, city, email, phone, price","PDF catalog listing dozens of dance studios for rental in Paris and nearby banlieue. Contains individual studio names, addresses, capacities, and some pricing. Multiple venues with addresses identifiable. Marked as catalog_pdf with extracted_venues.",70,3/8,ai_adaptive_extracted,2026-06-20,catalog_pdf,in_scope,no,2026-06-20,,,"capacity, city, email, phone, price",Micadanses,2,catalog_pdf,0,,no,,,"PDF catalog listing dozens of dance studios for rental in Paris and nearby banlieue. Contains individual studio names, addresses, capacities, and some pricing. Multiple venues with addresses identifiable. Marked as catalog_pdf with extracted_venues.",0.85,possible,0.65,cnd.fr,S4,https://www.cnd.fr/fr/file/file/96/inline/locstudiojuin2017.pdf,,https://www.cnd.fr/fr/file/file/96/inline/locstudiojuin2017.pdf,https://www.cnd.fr/fr/file/file/96/inline/locstudiojuin2017.pdf
candidate,70,,,,ai_classify_batch_0.jsonl,extracted_from_listing,venue_venue_fontenay-aux-roses.fr_louer une salle municipale fontenayauxroses_,venue_venue_fontenay-aux-roses.fr_louer une salle municipale fontenayauxroses__x0_92d290b194,to_contact,0,,municipal hall listing,,0.65,,,salle_de_l_glise_,92,"Municipal page listing 8 rental halls in Fontenay-aux-Roses with 'louer une salle' rental signal. Individual hall names identified but missing capacity, pricing, and specific addresses. Marked as municipal_hall_listing with extracted_venues.","capacity, city, email, phone, price","Municipal page listing 8 rental halls in Fontenay-aux-Roses with 'louer une salle' rental signal. Individual hall names identified but missing capacity, pricing, and specific addresses. Marked as municipal_hall_listing with extracted_venues.",70,3/8,ai_adaptive_extracted,2026-06-20,municipal_hall_listing,in_scope,no,2026-06-20,,,"capacity, city, email, phone, price",Salle de l'Église,2,municipal_hall_listing,0,,no,,,"Municipal page listing 8 rental halls in Fontenay-aux-Roses with 'louer une salle' rental signal. Individual hall names identified but missing capacity, pricing, and specific addresses. Marked as municipal_hall_listing with extracted_venues.",0.85,possible,0.65,fontenay-aux-roses.fr,S4,https://www.fontenay-aux-roses.fr/loisirs/vie-associative/louer-une-salle-municipale,,https://www.fontenay-aux-roses.fr/loisirs/vie-associative/louer-une-salle-municipale,https://www.fontenay-aux-roses.fr/loisirs/vie-associative/louer-une-salle-municipale
candidate,70,,,,ai_classify_batch_0.jsonl,extracted_from_listing,venue_venue_fontenay-aux-roses.fr_louer une salle municipale fontenayauxroses_,venue_venue_fontenay-aux-roses.fr_louer une salle municipale fontenayauxroses__x1_036da1ecb8,to_contact,0,,municipal hall listing,,0.65,,,salle_du_parc_,92,"Municipal page listing 8 rental halls in Fontenay-aux-Roses with 'louer une salle' rental signal. Individual hall names identified but missing capacity, pricing, and specific addresses. Marked as municipal_hall_listing with extracted_venues.","capacity, city, email, phone, price","Municipal page listing 8 rental halls in Fontenay-aux-Roses with 'louer une salle' rental signal. Individual hall names identified but missing capacity, pricing, and specific addresses. Marked as municipal_hall_listing with extracted_venues.",70,3/8,ai_adaptive_extracted,2026-06-20,municipal_hall_listing,in_scope,no,2026-06-20,,,"capacity, city, email, phone, price",Salle du Parc,2,municipal_hall_listing,0,,no,,,"Municipal page listing 8 rental halls in Fontenay-aux-Roses with 'louer une salle' rental signal. Individual hall names identified but missing capacity, pricing, and specific addresses. Marked as municipal_hall_listing with extracted_venues.",0.85,possible,0.65,fontenay-aux-roses.fr,S4,https://www.fontenay-aux-roses.fr/loisirs/vie-associative/louer-une-salle-municipale,,https://www.fontenay-aux-roses.fr/loisirs/vie-associative/louer-une-salle-municipale,https://www.fontenay-aux-roses.fr/loisirs/vie-associative/louer-une-salle-municipale
candidate,70,,,,ai_classify_batch_0.jsonl,extracted_from_listing,venue_venue_fontenay-aux-roses.fr_louer une salle municipale fontenayauxroses_,venue_venue_fontenay-aux-roses.fr_louer une salle municipale fontenayauxroses__x2_361fc1d39e,to_contact,0,,municipal hall listing,,0.65,,,salle_laboissi_re_,92,"Municipal page listing 8 rental halls in Fontenay-aux-Roses with 'louer une salle' rental signal. Individual hall names identified but missing capacity, pricing, and specific addresses. Marked as municipal_hall_listing with extracted_venues.","capacity, city, email, phone, price","Municipal page listing 8 rental halls in Fontenay-aux-Roses with 'louer une salle' rental signal. Individual hall names identified but missing capacity, pricing, and specific addresses. Marked as municipal_hall_listing with extracted_venues.",70,3/8,ai_adaptive_extracted,2026-06-20,municipal_hall_listing,in_scope,no,2026-06-20,,,"capacity, city, email, phone, price",Salle Laboissière,2,municipal_hall_listing,0,,no,,,"Municipal page listing 8 rental halls in Fontenay-aux-Roses with 'louer une salle' rental signal. Individual hall names identified but missing capacity, pricing, and specific addresses. Marked as municipal_hall_listing with extracted_venues.",0.85,possible,0.65,fontenay-aux-roses.fr,S4,https://www.fontenay-aux-roses.fr/loisirs/vie-associative/louer-une-salle-municipale,,https://www.fontenay-aux-roses.fr/loisirs/vie-associative/louer-une-salle-municipale,https://www.fontenay-aux-roses.fr/loisirs/vie-associative/louer-une-salle-municipale
