id,name,category,address,city,department,lat,lon,geocode_score,geocode_label,capacity_text,capacity_min,capacity_max,website,contact,pros,cons,source_url,confidence,quality_score,fit_score,last_checked
idf-001-forum-des-images,Forum des images,centre culturel / cinéma,"2 rue du Cinéma, Forum des Halles, 75001 Paris",Paris,75,48.859137,2.347447,0.5671229809725158,2 Rue des Halles 75001 Paris,"100, 274, 444 places ; espaces réception 120 à 440 personnes",100,444,https://www.forumdesimages.fr,privatisations@forumdesimages.fr ; 01 44 76 62 16,central | auditoriums + foyers | contact direct,plutôt semaine | certaines jauges >300,https://www.forumdesimages.fr/privatisation-despaces,high,90,90,2026-06-19
idf-002-maison-de-la-chimie,Maison de la Chimie,centre de conférences,"28 rue Saint-Dominique, 75007 Paris",Paris,75,48.859961,2.317121,0.9759890909090908,28 Rue Saint-Dominique 75007 Paris,salles 15 à 300 personnes ; amphithéâtre 216 places,15,300,https://maisondelachimie.com,+33 1 40 62 27 00 ; formulaire devis,institutionnel | nombreuses salles | conférences/séminaires,tarifs sur devis | choix salle à cadrer,https://maisondelachimie.com/evenementiel-paris/nos-espaces,high,90,85,2026-06-19
idf-003-mus-e-national-de-la-marine-l-astrolab,Musée national de la Marine - L’Astrolab,musée / auditorium,"17 place du Trocadéro et du 11 Novembre, 75116 Paris",Paris,75,48.862207,2.287343,0.7103711961722488,17 Place du Trocadéro et du Onze Novembre 75016 Paris,auditorium 200 places + foyer + salles réunion,200,200,https://www.musee-marine.fr,formulaire sur site,auditorium cible | cadre rénové | Trocadéro,contact direct à confirmer | contraintes musée,https://www.musee-marine.fr/professionnels/entreprise/location-despace.html,high,90,100,2026-06-19
idf-004-mus-e-rodin,Musée Rodin,musée / jardin,"77 rue de Varenne, 75007 Paris",Paris,75,48.855866,2.315993,0.9737454545454546,77 Rue de Varenne 75007 Paris,2 à 1500 invités selon espaces,1500,1500,https://www.musee-rodin.fr,formulaire page privatisation,patrimonial | jardin | prestige,créneaux contraints | premium,https://www.musee-rodin.fr/professionnels/location-despaces,high,90,60,2026-06-19
idf-005-la-ga-t-lyrique,La Gaîté Lyrique,centre culturel / auditorium,"3 bis rue Papin, 75003 Paris",Paris,75,48.866831,2.353591,0.6803997202797203,3b Rue Papin 75003 Paris,Audito 126 places ; grande salle 304 places conférence,126,304,https://www.gaite-lyrique.net,privatisations@gaite-lyrique.net,créatif | central | AV avancé,programmation culturelle | grande salle limite >300,https://www.gaite-lyrique.net/infos-pratiques/le-lieu/grande-salle,high,90,100,2026-06-19
idf-006-palais-de-tokyo,Palais de Tokyo,centre art contemporain,"13 avenue du Président Wilson, 75116 Paris",Paris,75,48.864615,2.294571,0.7485781818181818,Avenue du Président Wilson 75016 Paris,espaces 180 à 1300 m²,180,1300,https://palaisdetokyo.com,evenementiel@palaisdetokyo.com,très identifiable | espaces atypiques | contact direct,certains espaces très grands | contraintes exposition,https://palaisdetokyo.com/privatisations,high,90,75,2026-06-19
idf-007-les-salons-hoche,Les Salons Hoche,salons réception,"9 avenue Hoche, 75008 Paris",Paris,75,48.877212,2.30376,0.9711372727272727,9 Avenue Hoche 75008 Paris,Salon Élysée jusqu’à 300 cocktail / 250 dîner / 200 théâtre,200,300,https://www.salons-hoche.fr,contact@salons-hoche.fr ; 01 53 53 93 93,clé en main | prestige | accès Étoile,premium | capacités à confirmer,https://www.salons-hoche.fr,high,90,85,2026-06-19
idf-008-espace-saint-martin,Espace Saint-Martin,centre congrès / salles,"199 bis rue Saint-Martin, 75003 Paris",Paris,75,48.863373,2.352444,0.7278379361179361,199b Rue Saint-Martin 75003 Paris,9 salles ; 8 à 350 places,350,350,https://www.espacesaintmartin.com,,central | modulable | PMR,contact à compléter | auditorium >300,https://www.espacesaintmartin.com,high,70,40,2026-06-19
idf-009-bnf-richelieu-fran-ois-mitterrand,BnF Richelieu / François-Mitterrand,institution culturelle,"5 rue Vivienne, 75002 Paris",Paris,75,48.867022,2.338909,0.9676127272727272,5 Rue Vivienne 75002 Paris,Salle Ovale 300 cocktail ; auditoriums 200/350 places,200,350,https://www.bnf.fr,federica.serputi@bnf.fr ; pauline.denis@bnf.fr ; gilles.monfray@bnf.fr,patrimonial + contemporain | auditoriums cible | contacts nominatifs,multi-sites | contraintes horaires,https://www.bnf.fr/fr/location-despaces,high,90,100,2026-06-19
idf-010-espace-cl-ry,Espace Cléry,salles réunion / verrière,"17 rue de Cléry, 75002 Paris",Paris,75,48.867935,2.345883,0.9698254545454544,17 Rue de Cléry 75002 Paris,20 salles ; Verrière jusqu’à 150 assis / 200 personnes,20,200,https://www.formeret.fr,contact@formeret.fr ; 01 42 46 79 77,central | sous-commissions | verrière,numéros à confirmer | sur devis,https://www.formeret.fr/en/our-spaces/clery,high,90,85,2026-06-19
