id,name,city,department,address,lat,lon,geocode_score,geocode_label,category,capacity_text,capacity_max_detected,price_text,price_score,website,contact,source_url,pros,cons,confidence,fit_score,last_checked
small-001,myCowork Beaubourg - Georges,Paris,75,"5 rue du cloître Saint-Merri, 75004 Paris",48.858957,2.351453,0.96415,5 Rue du Cloître Saint-Merri 75004 Paris,coworking / petite salle,1 à 2 personnes,2,12 € TTC / heure ; 60 € TTC / journée,90,https://mycowork.fr/meeting-rooms,info@mycowork.fr ; 01 84 25 60 82,https://mycowork.fr/meeting-rooms,ultra petit prix | central Beaubourg | écran HDMI,trop petit pour 20 | sous-sol,high,96,2026-06-19
small-002,myCowork Montorgueil - Federici,Paris,75,"54 rue Greneta, 75002 Paris",48.865537,2.347996,0.9674563636363637,54 Rue Greneta 75002 Paris,coworking / salle réunion,8 personnes,8,30 € HT / heure ; 180 € HT / journée,75,https://mycowork.fr/meeting-rooms,info@mycowork.fr ; 01 85 09 08 29,https://mycowork.fr/meeting-rooms,central | 8 personnes | écran + paperboard,HT | annulation 1 semaine,high,91,2026-06-19
small-003,myCowork Montorgueil - Banksi,Paris,75,"54 rue Greneta, 75002 Paris",48.865537,2.347996,0.9674563636363637,54 Rue Greneta 75002 Paris,coworking / salle réunion,jusque 10 personnes,10,50 € HT / heure ; 300 € HT / journée,75,https://mycowork.fr/meeting-rooms,info@mycowork.fr ; 01 85 09 08 29,https://mycowork.fr/meeting-rooms,10 personnes | central | RDC,moins cheap que Federici | annulation 2 semaines,high,91,2026-06-19
small-004,myCowork Beaubourg - Niki,Paris,75,"5 rue du cloître Saint-Merri, 75004 Paris",48.858957,2.351453,0.96415,5 Rue du Cloître Saint-Merri 75004 Paris,coworking / salle réunion,jusque 12 personnes,12,50 € HT / heure ; 300 € HT / journée ; tarifs association week-end -50% indiqués,75,https://mycowork.fr/meeting-rooms,info@mycowork.fr ; 01 84 25 60 82,https://mycowork.fr/meeting-rooms,12 personnes | tarif asso possible | central,sous-sol | HT,high,91,2026-06-19
small-005,myCowork Beaubourg - Stravinski,Paris,75,"5 rue du cloître Saint-Merri, 75004 Paris",48.858957,2.351453,0.96415,5 Rue du Cloître Saint-Merri 75004 Paris,coworking / salle réunion,14 en U / 20 en théâtre,20,75 € HT / heure ; 450 € HT / journée ; tarifs association week-end -50% indiqués,75,https://mycowork.fr/meeting-rooms,info@mycowork.fr ; 01 84 25 60 82,https://mycowork.fr/meeting-rooms,20 max pile | central | tarif asso possible,plus cher | sous-sol,high,91,2026-06-19
small-006,Foyer Saint Jean Eudes - Salle Marie des Vallées,Paris,75,"44 rue de la Santé, 75014 Paris",48.832967,2.341072,0.9762981818181817,44 Rue de la Santé 75014 Paris,foyer / salle associative,5 à 20 personnes,20,,45,https://fsje.fr/nos-salles,contact@fsje.fr ; 01 44 08 70 00,https://fsje.fr/nos-salles,20 max | wifi écran vidéoprojecteur | calme/jardin,plutôt associations chrétiennes | prix non publié,high,81,2026-06-19
small-007,Foyer Saint Jean Eudes - Salle Jeanne Jugan,Paris,75,"44 rue de la Santé, 75014 Paris",48.832967,2.341072,0.9762981818181817,44 Rue de la Santé 75014 Paris,foyer / salle associative,5 à 8 personnes,8,,45,https://fsje.fr/nos-salles,contact@fsje.fr ; 01 44 08 70 00,https://fsje.fr/nos-salles,petit format | wifi écran | accès terrasse/jardin,prix non publié | petite jauge,high,81,2026-06-19
small-008,Maison des Ensembles - petite salle associative,Paris,75,"3-5 rue d’Aligre, 75012 Paris",48.848216,2.377392,0.8225393939393939,5 Rue d'Aligre 75012 Paris,centre Paris Anim / association,petite salle ≤25 m² ; viser ≤20 personnes selon disposition,20,associations: 10 €/h ou 70 €/jour semaine 9h-18h ; 15 €/h ou 100 €/jour soir/week-end ; exonération possible si activité gratuite,100,https://ligueo.ligueparis.org/maison-des-ensembles/-/mise-a-disposition-de-locaux,01 53 46 75 10,https://ligueo.ligueparis.org/maison-des-ensembles/-/mise-a-disposition-de-locaux,très économique | barème public | exonération possible,conditions associatives | capacité exacte à confirmer,high,100,2026-06-19
small-009,Fabrique de la Solidarité,Paris,75,"8 rue de la Banque, 75002 Paris",48.866835,2.340451,0.96371,8 Rue de la Banque 75002 Paris,lieu municipal solidarité,espaces de réunion pour associations solidarité ; petite jauge à demander,,"mise à disposition associations solidarité ; coût non indiqué, dispositif Ville de Paris",50,https://www.paris.fr/pages/locaux-a-usage-ponctuel-5406,fabrique-solidarite@paris.fr (adresse obfusquée sur Paris.fr),https://www.paris.fr/pages/locaux-a-usage-ponctuel-5406,municipal | central | orienté associations,réservé solidarité | capacité/prix à confirmer,medium,46,2026-06-19
small-010,Maison des Associations Aimé Césaire - Salle 3,Clichy,92,"80 boulevard du Général Leclerc, 92110 Clichy",48.905661,2.310024,0.9749827272727272,80 Boulevard du Général Leclerc 92110 Clichy,maison associations / municipal,20 assises,20,34 € / heure ; caution 1000 € indiquée,75,https://associations.ville-clichy.fr,Direction vie associative via site Ville de Clichy,https://associations.ville-clichy.fr/actualites/salles-municipales-pour-les-particuliers-et-acteurs-economiques,20 pile | tarif horaire raisonnable | ouvert aussi acteurs économiques locaux sous conditions,caution élevée | conditions locales,high,96,2026-06-19
